StationID,StationName,County,City,Province,ProvinceShortName,Region,NationalID,Latitude,Longitude,Elevation
58040,赣榆,赣榆县,连云港市,江苏省,江苏,黄淮海,320721,34.83333,119.11667,3
58102,亳州,谯城区,亳州市,安徽省,安徽,黄淮海,341602,33.86667,115.76667,38
58122,宿县,宿州市辖区,宿州市,安徽省,安徽,黄淮海,341301,33.63333,116.98333,26
58138,盱眙,盱眙县,淮安市,江苏省,江苏,黄淮海,320830,32.98333,118.51667,41
58141,淮安,淮安市辖区,淮安市,江苏省,江苏,黄淮海,320801,33.63333,119.01667,14
58144,淮阴清江,淮安市辖区,淮安市,江苏省,江苏,黄淮海,320801,33.6,119.03333,18
58150,射阳,射阳县,盐城市,江苏省,江苏,黄淮海,320924,33.76667,120.25,2
58203,阜阳,阜阳市辖区,阜阳市,安徽省,安徽,黄淮海,341201,32.86667,115.73333,33
58208,固始,固始县,信阳市,河南省,河南,黄淮海,411525,32.16667,115.66667,57
58215,寿县,寿县,六安市,安徽省,安徽,黄淮海,341521,32.55,116.78333,23
58221,蚌埠,蚌埠市辖区,蚌埠市,安徽省,安徽,黄淮海,340301,32.95,117.38333,19
58236,滁县,滁州市辖区,滁州市,安徽省,安徽,黄淮海,341101,32.3,118.3,28
58311,六安,六安市辖区,六安市,安徽省,安徽,黄淮海,341501,31.75,116.5,61
58314,霍山,霍山县,六安市,安徽省,安徽,黄淮海,341525,31.4,116.31667,68
58321,合肥,合肥市辖区,合肥市,安徽省,安徽,黄淮海,340101,31.86667,117.23333,27
